date,total_engagement
2022-01-01,82812.0
2022-01-02,59621.0
2022-01-03,39470.0
2022-01-04,74509.0
2022-01-05,76950.0
2022-01-06,51487.0
2022-01-07,41635.0
2022-01-08,74628.0
2022-01-09,36127.0
2022-01-10,95806.0
2022-01-11,48774.0
2022-01-12,58963.0
2022-01-13,28826.0
2022-01-14,59707.0
2022-01-15,39690.0
2022-01-16,33575.0
2022-01-17,60755.0
2022-01-18,57970.0
2022-01-19,70833.0
2022-01-20,39235.0
2022-01-21,41467.0
2022-01-22,38969.0
2022-01-23,80063.0
2022-01-24,30704.0
2022-01-25,59828.0
2022-01-26,32480.0
2022-01-27,132395.0
2022-01-28,40681.0
2022-01-29,39933.0
2022-01-30,54750.0
2022-01-31,31214.0
2022-02-01,38826.0
2022-02-02,69954.0
2022-02-03,45692.0
2022-02-04,35653.0
2022-02-05,52819.0
2022-02-06,55319.0
2022-02-07,95458.0
2022-02-08,105476.0
2022-02-09,62299.0
2022-02-10,40353.0
2022-02-11,43215.0
2022-02-12,73178.0
2022-02-13,42627.0
2022-02-14,33128.0
2022-02-15,50442.0
2022-02-16,36466.0
2022-02-17,33546.0
2022-02-18,69945.0
2022-02-19,51877.0
2022-02-20,55429.0
2022-02-21,41888.0
2022-02-22,96588.0
2022-02-23,103822.0
2022-02-24,206638.0
2022-02-25,46455.0
2022-02-26,59346.0
2022-02-27,67719.0
2022-02-28,50770.0
2022-03-01,132179.0
2022-03-02,43259.0
2022-03-03,41980.0
2022-03-04,34159.0
2022-03-05,48905.0
2022-03-06,34987.0
2022-03-07,35121.0
2022-03-08,53629.0
2022-03-09,65909.0
2022-03-10,29253.0
2022-03-11,84443.0
2022-03-12,82750.0
2022-03-13,47548.0
2022-03-14,48743.0
2022-03-15,112687.0
2022-03-16,46140.0
2022-03-17,52574.0
2022-03-18,50494.0
2022-03-19,53900.0
2022-03-20,77576.0
2022-03-21,106354.0
2022-03-22,44160.0
2022-03-23,36902.0
2022-03-24,36574.0
2022-03-25,59693.0
2022-03-26,50717.0
2022-03-27,79363.0
2022-03-28,40818.0
